"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr3",151879515,151880449,935,"*","Distal Intergenic",3,151985829,152183569,197741,1,"4154","uc003ezh.3",-105380,"ENSG00000152601","MBNL1","muscleblind like splicing regulator 1"
"chr3",152322668,152323319,652,"*","Distal Intergenic",3,152132730,152183569,50840,1,"4154","uc010hvp.3",189938,"ENSG00000152601","MBNL1","muscleblind like splicing regulator 1"
"chr3",153025902,153026574,673,"*","Distal Intergenic",3,152880029,152886263,6235,1,"5912","uc003ezr.3",145873,"ENSG00000181467","RAP2B","RAP2B, member of RAS oncogene family"
"chr3",153513046,153513803,758,"*","Distal Intergenic",3,153202284,153220486,18203,1,"152118","uc003ezt.3",310762,"ENSG00000237787","LINC02877","long intergenic non-protein coding RNA 2877"
"chr3",155032826,155033567,742,"*","Distal Intergenic",3,155008021,155011489,3469,2,"100507537","uc003fah.2",-21337,"ENSG00000240045","STRIT1","small transmembrane regulator of ion transport 1"
"chr3",156382330,156383008,679,"*","Distal Intergenic",3,156392205,156424557,32353,1,"25976","uc003fav.3",-9197,"ENSG00000163659","TIPARP","TCDD inducible poly(ADP-ribose) polymerase"
"chr3",160977738,160978287,550,"*","Distal Intergenic",3,160952910,160967886,14977,1,"51068","uc010hwh.3",24828,"ENSG00000169251","NMD3","NMD3 ribosome export adaptor"
"chr3",161977945,161978627,683,"*","Distal Intergenic",3,161214596,161221730,7135,1,"131149","uc011bpb.2",763349,"ENSG00000182447","OTOL1","otolin 1"
"chr3",167653222,167654313,1092,"*","Distal Intergenic",3,167613736,167641797,28062,1,"646168","uc003ffd.3",39486,"ENSG00000244227","LRRC77P","leucine rich repeat containing 77, pseudogene"
"chr3",171565582,171566271,690,"*","Intron (uc003fhw.2/389177, intron 1 of 4)",3,171561139,171577108,15970,1,"389177","uc003fhw.2",4443,"ENSG00000186329","TMEM212","transmembrane protein 212"
"chr3",172586247,172587018,772,"*","Distal Intergenic",3,172520651,172539264,18614,1,"1894","uc003fim.2",65596,"ENSG00000114346","ECT2","epithelial cell transforming 2"
"chr3",177085647,177086327,681,"*","Distal Intergenic",3,177159709,177470492,310784,1,"100505566","uc031sch.1",-73382,"ENSG00000228221","LINC00578","long intergenic non-protein coding RNA 578"
"chr3",177928001,177928780,780,"*","Distal Intergenic",3,178136989,178175093,38105,1,"100874330","uc031sci.1",-208209,"ENSG00000223941","LINC01014","long intergenic non-protein coding RNA 1014"
"chr3",179460169,179460734,566,"*","Intron (uc003fkh.3/8975, intron 12 of 20)",3,179370933,179507189,136257,1,"8975","uc003fkh.3",89236,"ENSG00000058056","USP13","ubiquitin specific peptidase 13"
"chr3",182703325,182703826,502,"*","Distal Intergenic",3,182660559,182698326,37768,2,"54165","uc003fld.1",-4999,"ENSG00000043093","DCUN1D1","defective in cullin neddylation 1 domain containing 1"
"chr3",184030405,184031058,654,"*","Promoter (1-2kb)",3,184032283,184043161,10879,1,"1981","uc003fno.2",-1225,"ENSG00000114867","EIF4G1","eukaryotic translation initiation factor 4 gamma 1"
"chr3",185456196,185456927,732,"*","Intron (uc010hyi.3/10644, intron 1 of 14)",3,185431040,185447575,16536,1,"646600","uc003fps.4",25156,"ENSG00000163915","IGF2BP2-AS1","IGF2BP2 antisense RNA 1"
"chr3",186162023,186162815,793,"*","Distal Intergenic",3,186172770,186211450,38681,2,"253573","uc003fqd.2",48635,"ENSG00000224406","LINC02052","long intergenic non-protein coding RNA 2052"
"chr3",186996938,186998169,1232,"*","Intron (uc003frh.2/5648, intron 2 of 15)",3,186933873,187009810,75938,2,"5648","uc003frh.2",11641,"ENSG00000127241","MASP1","MBL associated serine protease 1"
"chr3",190884019,190884664,646,"*","Distal Intergenic",3,190930322,190967910,37589,1,"344901","uc011bsn.2",-45658,"ENSG00000188729","OSTN","osteocrin"
"chr3",191244166,191244803,638,"*","Distal Intergenic",3,191178952,191179245,294,1,"152138","uc011bso.2",65214,"ENSG00000253548","PYDC2","pyrin domain containing 2"
"chr3",194497550,194498406,857,"*","Intron (uc021xjd.1/100507391, intron 3 of 3)",3,194429150,194502897,73748,1,"100507391","uc021xjd.1",68400,"ENSG00000237222","LINC01968","long intergenic non-protein coding RNA 1968"
"chr3",195160786,195161518,733,"*","Promoter (2-3kb)",3,194995465,195163817,168353,2,"23527","uc003fun.4",2299,"ENSG00000114331","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"chr3",196365428,196366150,723,"*","Promoter (<=1kb)",3,196366656,196388874,22219,1,"375387","uc003fwv.3",-506,"ENSG00000174004","NRROS","negative regulator of reactive oxygen species"
"chr4",1082109,1082958,850,"*","Intron (uc003gci.3/285498, intron 4 of 9)",4,1065266,1107352,42087,2,"285498","uc003gci.3",24394,"ENSG00000178222","RNF212","ring finger protein 212"
"chr4",1203477,1204077,601,"*","Promoter (<=1kb)",4,1160721,1202750,42030,2,"10417","uc021xkj.1",-727,"ENSG00000159674","SPON2","spondin 2"
"chr4",6183654,6184176,523,"*","Intron (uc010idb.1/152789, intron 1 of 20)",4,6055482,6196346,140865,2,"152789","uc003giu.4",12170,"ENSG00000152969","JAKMIP1","janus kinase and microtubule interacting protein 1"
"chr4",6693495,6693996,502,"*","Promoter (1-2kb)",4,6695566,6698897,3332,1,"6286","uc003gjl.3",-1570,"ENSG00000163993","S100P","S100 calcium binding protein P"
"chr4",7967461,7968120,660,"*","3' UTR",4,7967037,7985159,18123,2,"84448","uc003gki.3",17039,"ENSG00000163995","ABLIM2","actin binding LIM protein family member 2"
"chr4",11543456,11544337,882,"*","Distal Intergenic",4,11399988,11430537,30550,2,"9957","uc003gmq.3",-112919,"ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1"
"chr4",20623834,20624472,639,"*","Distal Intergenic",4,20697905,20754530,56626,1,"133015","uc003gpu.3",-73433,"ENSG00000163138","PACRGL","parkin coregulated like"
"chr4",24507242,24508270,1029,"*","Distal Intergenic",4,24521815,24521913,99,2,"693158","uc021xmx.1",13643,"ENSG00000207697","MIR573","microRNA 573"
"chr4",25687504,25688538,1035,"*","Distal Intergenic",4,25658086,25680368,22283,1,"10568","uc010iev.3",29418,"ENSG00000157765","SLC34A2","solute carrier family 34 member 2"
"chr4",25830458,25831069,612,"*","Intron (uc003gru.4/23231, intron 6 of 23)",4,25759121,25806374,47254,2,"23231","uc003grv.3",-24084,"ENSG00000091490","SEL1L3","SEL1L family member 3"
"chr4",26311467,26311968,502,"*","Distal Intergenic",4,26321332,26436752,115421,1,"3516","uc003grx.2",-9364,"ENSG00000168214","RBPJ","recombination signal binding protein for immunoglobulin kappa J region"
"chr4",33605532,33606483,952,"*","Distal Intergenic",4,35949843,36075457,125615,2,"116984","uc003gso.3",2468974,"ENSG00000047365","ARAP2","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
"chr4",40492538,40493270,733,"*","Intron (uc003gvd.2/54502, intron 1 of 4)",4,40504057,40504136,80,2,"100616274","uc021xns.1",10866,"ENSG00000263642","MIR4802","microRNA 4802"
"chr4",47565095,47565720,626,"*","Exon (uc003gxk.1/57205, exon 15 of 23)",4,47538454,47595503,57050,1,"57205","uc003gxl.1",26641,"ENSG00000145246","ATP10D","ATPase phospholipid transporting 10D (putative)"
"chr4",48975055,48975845,791,"*","Distal Intergenic",4,48988265,49064095,75831,1,"80157","uc003gyv.3",-12420,"ENSG00000109182","CWH43","cell wall biogenesis 43 C-terminal homolog"
"chr4",61538819,61540076,1258,"*","Distal Intergenic",4,62066974,62599272,532299,1,"23284","uc010ihg.1",-526898,"ENSG00000150471","ADGRL3","adhesion G protein-coupled receptor L3"
"chr4",64030282,64030783,502,"*","Distal Intergenic",4,65144177,65147277,3101,2,"253017","uc010ihi.3",1116494,"ENSG00000205678","TECRL","trans-2,3-enoyl-CoA reductase like"
"chr4",67519956,67520849,894,"*","Distal Intergenic",4,68340410,68360930,20521,2,"1060","uc010ihl.3",840081,"ENSG00000145241","CENPC","centromere protein C"
"chr4",69025188,69026038,851,"*","Distal Intergenic",4,69048010,69078188,30179,1,"100130017","uc010iho.1",-21972,"ENSG00000250426","FTLP10","ferritin light chain pseudogene 10"
"chr4",71305869,71306455,587,"*","Intron (uc011cat.2/4589, intron 1 of 3)",4,71296209,71348714,52506,1,"4589","uc011cat.2",9660,"ENSG00000171195","MUC7","mucin 7, secreted"
"chr4",74624598,74625343,746,"*","Distal Intergenic",4,74606223,74609433,3211,1,"3576","uc003hhe.3",18375,"ENSG00000169429","CXCL8","C-X-C motif chemokine ligand 8"
"chr4",76059592,76060295,704,"*","Distal Intergenic",4,75858285,75975325,117041,1,"25849","uc003hih.2",201307,"ENSG00000169116","PARM1","prostate androgen-regulated mucin-like protein 1"
"chr4",84907020,84907803,784,"*","Intron (uc010ikd.2/uc010ikd.2, intron 3 of 5)",4,84457470,84527027,69558,1,"84803","uc003hox.4",449550,"ENSG00000138678","GPAT3","glycerol-3-phosphate acyltransferase 3"
"chr4",87807294,87808012,719,"*","Intron (uc003hqe.4/132989, intron 4 of 4)",4,87797358,87813575,16218,2,"132989","uc003hqe.4",5563,"ENSG00000163633","C4orf36","chromosome 4 open reading frame 36"
"chr4",90118370,90119558,1189,"*","Distal Intergenic",4,90033968,90036052,2085,1,"166815","uc003hsk.3",84402,"ENSG00000180346","TIGD2","tigger transposable element derived 2"
"chr4",102860580,102861266,687,"*","Intron (uc003hvx.4/55024, intron 11 of 20)",4,102734983,102995969,260987,1,"55024","uc003hvz.4",125597,"ENSG00000153064","BANK1","B cell scaffold protein with ankyrin repeats 1"
"chr4",105293306,105293949,644,"*","Distal Intergenic",4,105389463,105416058,26596,2,"80319","uc003hxf.2",122109,"ENSG00000168772","CXXC4","CXXC finger protein 4"
"chr4",105461098,105462078,981,"*","Intron (uc003hxh.1/uc003hxh.1, intron 1 of 7)",4,105389463,105416058,26596,2,"80319","uc010ilo.4",-45040,"ENSG00000168772","CXXC4","CXXC finger protein 4"
"chr4",108059430,108059931,502,"*","Intron (uc010ilw.1/27123, intron 2 of 3)",4,107844978,107957453,112476,2,"27123","uc003hyj.1",-101977,"ENSG00000155011","DKK2","dickkopf WNT signaling pathway inhibitor 2"
"chr4",113217441,113218220,780,"*","Promoter (<=1kb)",4,113218499,113305993,87495,1,"80216","uc003iam.3",-279,"ENSG00000073331","ALPK1","alpha kinase 1"
"chr4",115084361,115085273,913,"*","Distal Intergenic",4,114821440,114900878,79439,2,"79642","uc003ibq.1",-183483,"ENSG00000180801","ARSJ","arylsulfatase family member J"
"chr4",128917635,128918353,719,"*","Intron (uc003ifq.2/80167, intron 3 of 5)",4,128930705,128957476,26772,1,"80167","uc003ift.3",-12352,"ENSG00000164074","ABHD18","abhydrolase domain containing 18"
"chr4",133394749,133395690,942,"*","Distal Intergenic",4,134070470,134074404,3935,1,"57575","uc003igz.3",-674780,"ENSG00000138650","PCDH10","protocadherin 10"
"chr4",139767130,139767778,649,"*","Distal Intergenic",4,139936943,139965034,28092,1,"25819","uc003ihk.1",-169165,"ENSG00000151014","NOCT","nocturnin"
"chr4",140497606,140499131,1526,"*","Distal Intergenic",4,140453733,140477577,23845,2,"80854","uc003ihx.3",-20029,"ENSG00000145391","SETD7","SET domain containing 7, histone lysine methyltransferase"
"chr4",140884284,140885027,744,"*","Intron (uc011chd.1/55534, intron 1 of 3)",4,140637546,141075233,437688,2,"55534","uc011chd.1",190206,"ENSG00000196782","MAML3","mastermind like transcriptional coactivator 3"
"chr4",141705686,141706576,891,"*","Distal Intergenic",4,141541936,141677471,135536,2,"23158","uc010ioj.3",-28215,"ENSG00000109436","TBC1D9","TBC1 domain family member 9"
"chr4",142128414,142129147,734,"*","Distal Intergenic",4,142142049,142155850,13802,1,"27309","uc003iiq.4",-12902,"ENSG00000109445","ZNF330","zinc finger protein 330"
"chr4",142574034,142574825,792,"*","Intron (uc003iis.3/3600, intron 1 of 7)",4,142557749,142655140,97392,1,"3600","uc010iol.3",16285,"ENSG00000164136","IL15","interleukin 15"
"chr4",144634961,144635462,502,"*","Distal Intergenic",4,144498561,144621828,123268,2,"166752","uc021xsj.1",-13133,"ENSG00000183090","FREM3","FRAS1 related extracellular matrix 3"
"chr4",150656720,150657413,694,"*","Intron (uc003ill.3/uc003ill.3, intron 4 of 16)",4,150999426,151178608,179183,1,"166614","uc003ilm.4",-342013,"ENSG00000170390","DCLK2","doublecortin like kinase 2"
"chr4",156557907,156558847,941,"*","Distal Intergenic",4,156587862,156643721,55860,1,"2982","uc010iqc.3",-29015,"ENSG00000164116","GUCY1A1","guanylate cyclase 1 soluble subunit alpha 1"
"chr4",157071801,157072511,711,"*","Distal Intergenic",4,156845270,156875048,29779,2,"1519","uc003ipg.3",-196753,"ENSG00000256043","CTSO","cathepsin O"
"chr4",158945357,158946020,664,"*","Distal Intergenic",4,159045732,159093718,47987,2,"51313","uc003ipp.4",147698,"ENSG00000164125","GASK1B","golgi associated kinase 1B"
"chr4",161486297,161486921,625,"*","Distal Intergenic",4,160188998,160281301,92304,1,"9693","uc003iqg.4",1297299,"ENSG00000109756","RAPGEF2","Rap guanine nucleotide exchange factor 2"
"chr4",167041973,167042725,753,"*","Distal Intergenic",4,166794410,167025609,231200,1,"7092","uc011cjo.2",247563,"ENSG00000038295","TLL1","tolloid like 1"
"chr4",168797001,168798249,1249,"*","Distal Intergenic",4,169013688,169108893,95206,1,"11199","uc003irm.3",-215439,"ENSG00000109511","ANXA10","annexin A10"
"chr4",169263600,169264383,784,"*","Distal Intergenic",4,169137442,169239958,102517,2,"55601","uc003irp.3",-23642,"ENSG00000137628","DDX60","DExD/H-box helicase 60"
"chr4",184333330,184333960,631,"*","Distal Intergenic",4,184365789,184369049,3261,1,"55602","uc003ivp.1",-31829,"ENSG00000168564","CDKN2AIP","CDKN2A interacting protein"
"chr4",184387237,184387738,502,"*","Distal Intergenic",4,184365789,184369049,3261,1,"55602","uc003ivq.1",21448,"ENSG00000168564","CDKN2AIP","CDKN2A interacting protein"
"chr4",184600759,184601577,819,"*","5' UTR",4,184605002,184634747,29746,1,"60684","uc003ivy.3",-3425,"ENSG00000168538","TRAPPC11","trafficking protein particle complex subunit 11"
"chr4",184860970,184861625,656,"*","Intron (uc003ivz.1/56977, intron 1 of 3)",4,184826509,184938875,112367,1,"56977","uc003ivz.1",34461,"ENSG00000173320","STOX2","storkhead box 2"
"chr5",1414248,1414830,583,"*","Exon (uc003jck.3/6531, exon 8 of 15)",5,1392905,1445543,52639,2,"6531","uc003jck.3",30713,"ENSG00000142319","SLC6A3","solute carrier family 6 member 3"
"chr5",6737041,6737846,806,"*","5' UTR",5,6746101,6757161,11061,1,"11044","uc010itl.1",-8255,"ENSG00000112941","TENT4A","terminal nucleotidyltransferase 4A"
"chr5",9437012,9438215,1204,"*","5' UTR",5,9035138,9546233,511096,2,"9037","uc003jek.2",108018,"ENSG00000112902","SEMA5A","semaphorin 5A"
"chr5",13218339,13218929,591,"*","Distal Intergenic",5,13690437,13769252,78816,2,"1767","uc003jfc.2",550323,"ENSG00000039139","DNAH5","dynein axonemal heavy chain 5"
"chr5",16178745,16179807,1063,"*","Promoter (<=1kb)",5,16067474,16179897,112424,2,"441061","uc003jfo.2",90,"ENSG00000183654","MARCHF11","membrane associated ring-CH-type finger 11"
"chr5",16261756,16262795,1040,"*","Distal Intergenic",5,16067474,16179897,112424,2,"441061","uc003jfo.2",-81859,"ENSG00000183654","MARCHF11","membrane associated ring-CH-type finger 11"
"chr5",38420588,38421510,923,"*","Intron (uc003jlb.2/133584, intron 12 of 21)",5,38403634,38465582,61949,1,"133584","uc003jlf.2",16954,"ENSG00000164318","EGFLAM","EGF like, fibronectin type III and laminin G domains"
"chr5",40281803,40282304,502,"*","Distal Intergenic",5,40680032,40693837,13806,1,"5734","uc003jlz.3",-397728,"ENSG00000171522","PTGER4","prostaglandin E receptor 4"
"chr5",40388177,40388806,630,"*","Distal Intergenic",5,40680032,40693837,13806,1,"5734","uc003jlz.3",-291226,"ENSG00000171522","PTGER4","prostaglandin E receptor 4"
"chr5",44467903,44469009,1107,"*","Distal Intergenic",5,44305097,44388784,83688,2,"2255","uc003jog.1",-79119,"ENSG00000070193","FGF10","fibroblast growth factor 10"
"chr5",50292571,50293480,910,"*","Distal Intergenic",5,49962772,50142356,179585,1,"79668","uc003jop.3",329799,"ENSG00000151883","PARP8","poly(ADP-ribose) polymerase family member 8"
"chr5",52943520,52944114,595,"*","Intron (uc003jpe.2/4724, intron 3 of 4)",5,52856465,52979171,122707,1,"4724","uc003jpe.2",87055,"ENSG00000164258","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4"
"chr5",67050032,67050755,724,"*","Distal Intergenic",5,67511584,67597649,86066,1,"5295","uc003jva.3",-460829,"ENSG00000145675","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1"
"chr5",67146480,67147173,694,"*","Distal Intergenic",5,67511584,67597649,86066,1,"5295","uc003jva.3",-364411,"ENSG00000145675","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1"
"chr5",74326607,74327489,883,"*","Promoter (<=1kb)",5,74323289,74326724,3436,2,"51301","uc003kdn.3",0,"ENSG00000176928","GCNT4","glucosaminyl (N-acetyl) transferase 4"
"chr5",76383319,76383997,679,"*","Promoter (<=1kb)",5,76383884,76444176,60293,1,"728723","uc003kez.3",0,"ENSG00000250802","ZBED3-AS1","ZBED3 antisense RNA 1"
"chr5",76778690,76779374,685,"*","Intron (uc003kff.1/55255, intron 2 of 12)",5,76728069,76788332,60264,2,"55255","uc003kff.1",8958,"ENSG00000164253","WDR41","WD repeat domain 41"
"chr5",85513017,85513518,502,"*","Distal Intergenic",5,85578262,85593365,15104,1,"285622","uc003kiq.3",-64744,NA,"NBPF22P","NBPF member 22, pseudogene"
"chr5",85907378,85908307,930,"*","Distal Intergenic",5,85913784,85916583,2800,1,"1350","uc003kir.3",-5477,"ENSG00000127184","COX7C","cytochrome c oxidase subunit 7C"
"chr5",88707855,88708887,1033,"*","Distal Intergenic",5,88014058,88199922,185865,2,"4208","uc003kjm.3",-507933,"ENSG00000081189","MEF2C","myocyte enhancer factor 2C"
"chr5",89353667,89354629,963,"*","Distal Intergenic",5,89312438,89312537,100,2,"100500825","uc021ybi.1",-41130,"ENSG00000264342","MIR3660","microRNA 3660"
"chr5",94432297,94433032,736,"*","Intron (uc003kkx.2/79772, intron 1 of 22)",5,94134718,94417545,282828,2,"79772","uc003kkz.2",-14752,"ENSG00000175471","MCTP1","multiple C2 and transmembrane domain containing 1"
"chr5",94700333,94701140,808,"*","Distal Intergenic",5,94727048,94786144,59097,1,"153643","uc003kla.1",-25908,"ENSG00000153347","FAM81B","family with sequence similarity 81 member B"
"chr5",95036064,95036815,752,"*","Distal Intergenic",5,95053337,95091797,38461,1,"22836","uc003klk.1",-16522,"ENSG00000164292","RHOBTB3","Rho related BTB domain containing 3"
"chr5",96439528,96440391,864,"*","Intron (uc003kmy.4/167410, intron 4 of 5)",5,96427574,96478520,50947,2,"167410","uc003kmy.4",38129,"ENSG00000145721","LIX1","limb and CNS expressed 1"
"chr5",96943779,96944280,502,"*","Distal Intergenic",5,96502450,96519005,16556,2,"55781","uc003kna.3",-424774,"ENSG00000058729","RIOK2","RIO kinase 2"
"chr5",98782804,98783640,837,"*","Distal Intergenic",5,98264838,98266713,1876,1,"100289230","uc021ybw.1",517966,"ENSG00000248489","LOC100289230","uncharacterized LOC100289230"
"chr5",102853440,102854198,759,"*","Distal Intergenic",5,102884556,102898490,13935,2,"83594","uc003koi.3",44292,"ENSG00000112874","NUDT12","nudix hydrolase 12"
"chr5",107501787,107502694,908,"*","Intron (uc011cvc.2/64839, intron 6 of 8)",5,107213952,107703654,489703,2,"64839","uc003kon.4",200960,"ENSG00000145743","FBXL17","F-box and leucine rich repeat protein 17"
"chr5",111312887,111313524,638,"*","Promoter (<=1kb)",5,111065000,111312628,247629,2,"9315","uc011cvs.2",-259,"ENSG00000134986","NREP","neuronal regeneration related protein"
"chr5",112492121,112492861,741,"*","Intron (uc003kqj.4/4163, intron 1 of 16)",5,112357796,112630612,272817,2,"4163","uc003kqj.4",137751,"ENSG00000171444","MCC","MCC regulator of WNT signaling pathway"
"chr5",112588784,112589648,865,"*","Intron (uc003kqj.4/4163, intron 1 of 16)",5,112357796,112630612,272817,2,"4163","uc003kqj.4",40964,"ENSG00000171444","MCC","MCC regulator of WNT signaling pathway"
"chr5",129114350,129115122,773,"*","Distal Intergenic",5,129083884,129100756,16873,1,"100127206","uc031skx.1",30466,"ENSG00000186367","MINAR2","membrane integral NOTCH2 associated receptor 2"
"chr5",131299332,131299930,599,"*","Intron (uc003kvv.2/23305, intron 16 of 30)",5,131285667,131309728,24062,2,"23305","uc003kvw.2",9798,"ENSG00000164398","ACSL6","acyl-CoA synthetase long chain family member 6"
"chr5",131794509,131795010,502,"*","Intron (uc003kwy.3/441108, intron 3 of 3)",5,131821323,131825175,3853,2,"3659","uc010jdt.2",30165,"ENSG00000125347","IRF1","interferon regulatory factor 1"
"chr5",132387435,132388111,677,"*","Promoter (<=1kb)",5,132387662,132440709,53048,1,"3308","uc003kyj.3",0,"ENSG00000170606","HSPA4","heat shock protein family A (Hsp70) member 4"
"chr5",138724277,138724992,716,"*","Promoter (<=1kb)",5,138723257,138725605,2349,2,"51237","uc003lei.3",613,"ENSG00000170476","MZB1","marginal zone B and B1 cell specific protein"
"chr5",142133999,142134840,842,"*","Distal Intergenic",5,142150292,142608572,458281,1,"23092","uc003lmt.3",-15452,"ENSG00000145819","ARHGAP26","Rho GTPase activating protein 26"
"chr5",145946398,145947091,694,"*","Distal Intergenic",5,145894417,145895676,1260,2,"134391","uc003lod.1",-50722,"ENSG00000173250","GPR151","G protein-coupled receptor 151"
"chr5",150476626,150477127,502,"*","Distal Intergenic",5,150409504,150467221,57718,2,"10318","uc021ygb.1",-9405,"ENSG00000145901","TNIP1","TNFAIP3 interacting protein 1"
"chr5",152470076,152470779,704,"*","Distal Intergenic",5,152869175,153085732,216558,1,"2890","uc010jia.1",-398396,"ENSG00000155511","GRIA1","glutamate ionotropic receptor AMPA type subunit 1"
"chr5",154734230,154735284,1055,"*","Distal Intergenic",5,154393260,154397685,4426,1,"285643","uc010jih.1",340970,"ENSG00000226650","KIF4B","kinesin family member 4B"
"chr5",160694737,160695458,722,"*","Distal Intergenic",5,160715436,160973801,258366,2,"2561","uc011deh.1",278343,"ENSG00000145864","GABRB2","gamma-aminobutyric acid type A receptor subunit beta2"
"chr5",163943289,163944187,899,"*","Intron (uc003lzn.3/uc003lzn.3, intron 2 of 2)",5,162944463,162946359,1897,1,"27430","uc003lzm.4",998826,"ENSG00000038274","MAT2B","methionine adenosyltransferase 2 non-catalytic beta subunit"
"chr5",165474247,165475198,952,"*","Distal Intergenic",5,166711843,167420187,708345,1,"57451","uc021yhi.1",-1236645,"ENSG00000145934","TENM2","teneurin transmembrane protein 2"
"chr5",169852375,169852876,502,"*","Intron (uc003map.3/30820, intron 1 of 7)",5,169809678,169816681,7004,2,"3779","uc003mar.4",-35694,"ENSG00000145936","KCNMB1","potassium calcium-activated channel subfamily M regulatory beta subunit 1"
"chr5",170249272,170249857,586,"*","Distal Intergenic",5,170210723,170241050,30328,1,"2568","uc011dev.2",38549,"ENSG00000094755","GABRP","gamma-aminobutyric acid type A receptor subunit pi"
"chr5",172418016,172418766,751,"*","Intron (uc003mcd.1/8992, intron 1 of 3)",5,172410763,172461900,51138,1,"8992","uc003mcd.1",7253,"ENSG00000113732","ATP6V0E1","ATPase H+ transporting V0 subunit e1"
"chr5",179747609,179748359,751,"*","Intron (uc003mlw.1/9945, intron 9 of 18)",5,179673028,179719071,46044,2,"5601","uc011dgx.2",-28538,"ENSG00000050748","MAPK9","mitogen-activated protein kinase 9"
"chr6",5181408,5182003,596,"*","Intron (uc003mwn.1/uc003mwn.1, intron 3 of 3)",6,5148467,5148556,90,2,"100500900","uc021ykv.1",-32852,"ENSG00000265083","MIR3691","microRNA 3691"
"chr6",7230534,7231035,502,"*","Exon (uc021yky.1/6239, exon 10 of 12)",6,7182103,7252213,70111,1,"6239","uc021yla.1",48431,"ENSG00000124782","RREB1","ras responsive element binding protein 1"
"chr6",10518666,10519758,1093,"*","Promoter (1-2kb)",6,10521568,10629601,108034,1,"2651","uc010joo.3",-1810,"ENSG00000111846","GCNT2","glucosaminyl (N-acetyl) transferase 2 (I blood group)"
"chr6",11748537,11749411,875,"*","Intron (uc003nab.3/84830, intron 3 of 5)",6,11713888,11736947,23060,2,"84830","uc003naa.3",-11590,"ENSG00000111863","ADTRP","androgen dependent TFPI regulating protein"
"chr6",14681673,14682762,1090,"*","Distal Intergenic",6,15245734,15497401,251668,1,"3720","uc011diu.1",-562972,"ENSG00000008083","JARID2","jumonji and AT-rich interaction domain containing 2"
"chr6",14889056,14889697,642,"*","Distal Intergenic",6,15245734,15497401,251668,1,"3720","uc011diu.1",-356037,"ENSG00000008083","JARID2","jumonji and AT-rich interaction domain containing 2"
"chr6",15133059,15133747,689,"*","Distal Intergenic",6,15245734,15497401,251668,1,"3720","uc011diu.1",-111987,"ENSG00000008083","JARID2","jumonji and AT-rich interaction domain containing 2"
"chr6",15872037,15873114,1078,"*","Distal Intergenic",6,15523801,15663289,139489,2,"84062","uc010jph.3",-208748,"ENSG00000047579","DTNBP1","dystrobrevin binding protein 1"
"chr6",16832018,16832891,874,"*","Distal Intergenic",6,16738703,16761721,23019,2,"6310","uc003nbw.1",-70297,"ENSG00000124788","ATXN1","ataxin 1"
"chr6",32271230,32271963,734,"*","Intron (uc011dpx.2/10665, intron 21 of 25)",6,32256303,32339656,83354,2,"10665","uc011dpx.2",67693,"ENSG00000204296","TSBP1","testis expressed basic protein 1"
"chr6",35616119,35617291,1173,"*","Intron (uc011dte.1/2289, intron 1 of 10)",6,35632494,35632566,73,2,"100847048","uc031son.1",15275,"ENSG00000265527","MIR5690","microRNA 5690"
"chr6",37033112,37033760,649,"*","Distal Intergenic",6,36989318,36996391,7074,1,"221472","uc003onj.1",43794,"ENSG00000146192","FGD2","FYVE, RhoGEF and PH domain containing 2"
"chr6",37812694,37813427,734,"*","Intron (uc003onx.3/60685, intron 1 of 5)",6,37787307,38122399,335093,1,"60685","uc003onx.3",25387,"ENSG00000156639","ZFAND3","zinc finger AN1-type containing 3"
"chr6",45709560,45710203,644,"*","Distal Intergenic",6,45866190,45905334,39145,2,"53405","uc031sos.1",195131,"ENSG00000112782","CLIC5","chloride intracellular channel 5"
"chr6",51084394,51085085,692,"*","Distal Intergenic",6,50786439,50815326,28888,1,"7021","uc003pag.3",297955,"ENSG00000008196","TFAP2B","transcription factor AP-2 beta"
"chr6",53592748,53594052,1305,"*","Distal Intergenic",6,53512699,53530506,17808,2,"401265","uc003pcb.4",-62242,"ENSG00000124743","KLHL31","kelch like family member 31"
"chr6",55033009,55033642,634,"*","Intron (uc010jzu.1/uc010jzu.1, intron 2 of 2)",6,55039071,55147418,108348,1,"3062","uc003pcl.3",-5429,"ENSG00000137252","HCRTR2","hypocretin receptor 2"
"chr6",57039889,57040722,834,"*","Promoter (1-2kb)",6,57038234,57050012,11779,1,"9532","uc011dxo.2",1655,"ENSG00000112208","BAG2","BAG cochaperone 2"
"chr6",58922676,58923233,558,"*","Distal Intergenic",6,58272360,58287724,15365,2,"375513","uc003ped.4",-634952,NA,"GUSBP4","GUSB pseudogene 4"
"chr6",70538234,70538916,683,"*","Distal Intergenic",6,70385641,70507049,121409,2,"55788","uc003pfb.3",-31185,"ENSG00000168216","LMBRD1","LMBR1 domain containing 1"
